"","block","lot","street_number","street_number_suffix","street_name","street_suffix","new_units_built","month","year"
"393699","1763","27",1368,"","09TH","AV",1,"01","2016"
"393717","6009","40",235,"","MADRID","ST",1,"01","2016"
"393718","5319","28",1987,"","OAKDALE","AV",1,"01","2016"
"393735","2693","024A",155,"","EUREKA","ST",1,"01","2016"
"393736","5891","004A",175,"","MAYNARD","ST",1,"01","2016"
"393739","1418","26",290,"","16TH","AV",1,"01","2016"
"393742","1174","002E",547,"","MASONIC","AV",1,"01","2016"
"393747","2473","18",2689,"","23RD","AV",1,"01","2016"
"393767","1475","32",439,"","43RD","AV",1,"01","2016"
"393768","1475","32",441,"","43RD","AV",1,"01","2016"
"393789","3502","111",25,"","ELGIN","PK",3,"01","2016"
"393802","1183","52",617,"","BRODERICK","ST",1,"01","2016"
"393808","3656","10",4022,"","24TH","ST",2,"01","2016"
"393809","3656","10",4024,"","24TH","ST",2,"01","2016"
"393810","3656","10",4026,"","24TH","ST",2,"01","2016"
"393825","857","1",229,"","HAIGHT","ST",23,"01","2016"
"393832","927","36",2225,"","BAY","ST",1,"01","2016"
"393878","3575","63",3249,"","17TH","ST",1,"01","2016"
"393888","3789","972",72,"","TOWNSEND","ST",74,"01","2016"
"393923","1805","6",1433,"","48TH","AV",1,"01","2016"
"394128","693","15",1036,"","POLK","ST",1,"01","2016"
"394211","1152","18",1880,"","GOLDEN GATE","AV",2,"01","2016"
"394225","3510","1",1415,"","MISSION","ST",121,"01","2016"
"394617","3731","1",200,"","06TH","ST",67,"01","2016"
"394772","1152","18",1880,"","GOLDEN GATE","AV",2,"01","2016"
"394889","1386","15",279,"","26TH","AV",1,"01","2016"
"394890","1386","15",283,"","26TH","AV",1,"01","2016"
"394958","3625","011A",3930,"","23RD","ST",1,"01","2016"
"394959","3625","011A",3932,"","23RD","ST",1,"01","2016"
"395180","3625","011A",3930,"","23RD","ST",1,"01","2016"
"395537","7331","235",173,"","SUMMIT","WY",2,"01","2016"
"395538","7331","236",171,"","SUMMIT","WY",2,"01","2016"
"395539","7331","237",175,"","SUMMIT","WY",2,"01","2016"
"395540","7331","238",177,"","SUMMIT","WY",2,"01","2016"
"395541","7331","239",181,"","SUMMIT","WY",2,"01","2016"
"395542","7331","240",179,"","SUMMIT","WY",2,"01","2016"
"395543","7331","241",183,"","SUMMIT","WY",2,"01","2016"
"395544","7331","242",185,"","SUMMIT","WY",2,"01","2016"
"395545","7331","243",189,"","SUMMIT","WY",2,"01","2016"
"395546","7331","244",187,"","SUMMIT","WY",2,"01","2016"
"395547","7331","245",191,"","SUMMIT","WY",2,"01","2016"
"395548","7331","246",193,"","SUMMIT","WY",2,"01","2016"
"395665","4004","34",1451,"","MARIPOSA","ST",1,"01","2016"
"398417","1371","39",112,"","12TH","AV",1,"01","2017"
"398424","1219","18",102,"","BAKER","ST",1,"01","2017"
"398432","4211","11",1152,"A","POTRERO","AV",2,"01","2017"
"398433","4211","11",1152,"B","POTRERO","AV",2,"01","2017"
"398434","4211","11",1152,"","POTRERO","AV",2,"01","2017"
"398443","1680","28",846,"A","38TH","AV",1,"01","2017"
"398455","2753","023B",139,"","GRAND VIEW","AV",1,"01","2017"
"398466","7086","6",261,"","ARCH","ST",1,"01","2017"
"398467","7086","6",263,"","ARCH","ST",1,"01","2017"
"398479","480","14",1339,"A","FRANCISCO","ST",1,"01","2017"
"398484","4210","5",1136,"","HAMPSHIRE","ST",1,"01","2017"
"398485","2459","51",2600,"","38TH","AV",1,"01","2017"
"398492","4071","6",636,"","CAROLINA","ST",1,"01","2017"
